R,G,B,S1,S2
89.19292652027028,62.980679898648646,49.85356841216216,13.127111486486484,-65.55160472972975
89.10715192014888,62.728218575537134,49.57566401624091,13.152554559296227,-65.91042124851971
89.28070101351351,62.99560810810811,49.856967905405405,13.138640202702703,-65.70882601351349
89.2848606418919,63.037943412162164,49.909945101351354,13.12799831081081,-65.62183277027027
89.25525760135135,63.057326858108105,49.976541385135135,13.08078547297297,-65.47664695945946
89.30781134075252,63.09384207737149,50.09494435612083,12.998897721250664,-65.42683624801273
89.26116976351351,63.04968327702703,49.9929054054054,13.056777871621627,-65.47975084459458
89.24066722972972,63.06499155405405,49.95536317567568,13.109628378378375,-65.46097972972973
89.19512246621622,62.996642736486486,49.98676097972973,13.009881756756755,-65.40684121621624
89.12368888512943,62.666088648282866,49.57602351547961,13.090065132803254,-66.00526560649638
88.99465744814582,62.72151686570291,49.80450450450451,12.917012361198402,-65.46329352608421
88.91627906976744,62.72874502409386,49.826628954535934,12.902116069557927,-65.2771841609051
88.8771422585376,62.70768908443327,49.88789021579719,12.819798868636077,-65.15870521684474
88.98369965296035,62.69281733094963,49.83689136607425,12.855925964875382,-65.43769060889684
88.96926461345066,62.61906557720511,49.81581814372512,12.803247433479996,-65.5036455059711
89.12030707750552,62.76916605321274,49.922936165737724,12.846229887475019,-65.54851193606056
88.98222736355032,62.62784730255547,49.824418971500684,12.80342833105479,-65.5121884530445
89.17858870543695,62.715196129982125,49.88627615942791,12.828919970554217,-65.75570512146386
89.18146114864865,62.74742398648649,49.87027027027027,12.87715371621622,-65.74522804054054
89.21307010135135,62.796811655405406,49.932622466216216,12.86418918918919,-65.69670608108108
89.06059522557577,62.674077190030495,49.846145756651595,12.8279314333789,-65.60096750446945
89.0151856136292,62.695740877063834,49.900809759175516,12.794931117888318,-65.43382059101906
89.20147804054054,62.86980574324324,49.91813766891892,12.951668074324324,-65.61501266891892
88.9487819319912,62.49266198612756,49.49346557266114,12.999196413466422,-65.91143630519372
88.88479524772498,62.47847152005393,49.478387259858444,13.000084260195486,-65.81273171553758
89.00192750890426,62.74728682170543,49.830672532998115,12.916614288707315,-65.42589566310497
89.22058699324324,62.85048564189189,49.88091216216216,12.969573479729732,-65.70977618243244
89.2126266891892,62.808994932432434,49.84355996621622,12.965434966216215,-65.77269847972974
89.18555743243243,62.76427364864865,49.83703547297297,12.927238175675676,-65.76980574324325
88.90259753917341,62.63093911031654,49.72575454832264,12.905184561993899,-65.44850141970764
89.17221467391305,62.71314538043478,49.69002632472826,13.023119055706523,-65.94125764266306
88.89906530197936,62.32249196413466,49.33964219252242,12.982849771612244,-66.13599644730165
88.79318220267298,62.46861783116224,49.486508205041446,12.982109626120796,-65.63123836914227
88.92532989341905,62.49849856200304,49.50222043647437,12.996278125528676,-65.84994078836067
88.96252749111825,62.420571815259684,49.51095415327356,12.909617661986125,-65.99352901370327
88.92429517663044,62.45045006793478,49.480044157608695,12.970405910326086,-65.9180961277174
88.83912083289515,62.38878956777789,49.52211589020928,12.866673677568613,-65.76733620780313
88.9605129076087,62.37584918478261,49.53846807065217,12.837381114130437,-66.00670855978262
88.63867588518751,62.25346742090928,49.492688036874085,12.760779384035196,-65.53119631259165
88.69251348163128,62.237424165824066,49.400193798449614,12.837230367374453,-65.74740899898887
88.61508485229416,62.265933375235704,49.475759480410645,12.79017389482506,-65.48847684894197
88.59061386968364,62.247517284726584,49.4940498638173,12.753467420909281,-65.4396605908234
88.88241131756757,62.38621199324324,49.58904138513513,12.797170608108111,-65.78956925675676
88.87010135135135,62.39594594594595,49.58445945945946,12.811486486486487,-65.7597972972973
88.62635658914729,62.27540331028703,49.49987429289755,12.77552901738948,-65.47743557511001
